Year,Month,Day,Hour,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Solar Radiation (GHI)
2011,1,1,0,8,13.52265875,986.7618408,72.29585844,37.2883873,3.011041641,0
2011,1,1,1,8,12.83581407,986.4414063,75.37618639,37.68671799,3.09124279,0
2011,1,1,2,8,12.19805772,985.7365112,78.40519779,35.05390549,3.007649422,0
2011,1,1,3,8,11.58350045,985.5256958,81.0429805,30.13521576,2.926715374,0
2011,1,1,4,8,11.02957806,985.6619263,82.54850817,24.40296936,2.915177107,0
2011,1,1,5,1,8.098655214,985.7232056,65.27849408,89.29006195,1.937899351,0
2011,1,1,6,2,7.806704578,986.2491455,67.09318091,95.83598328,1.81517458,0
2011,1,1,7,2,9.036408448,987.0389404,64.03548307,105.1981812,1.615310192,0
2011,1,1,8,3,12.15828049,987.8973999,55.10565631,113.3176651,1.439088345,159
2011,1,1,9,3,14.96530058,988.2119141,47.16693836,117.3276062,1.063374043,363
2011,1,1,10,3,18.95608188,988.0545044,36.74708665,72.48832703,0.545694888,533
2011,1,1,11,2,21.35404658,987.4638672,29.15701507,12.97692871,0.980116606,649
2011,1,1,12,2,22.16125705,986.3861694,27.59307075,4.777778625,1.411914706,698
2011,1,1,13,2,22.25621575,985.7365112,27.27469511,5.35534668,1.747909427,675
2011,1,1,14,2,21.72588446,985.5215454,27.81928852,6.877182007,2.005286932,582
2011,1,1,15,2,20.50726871,985.2796631,30.02328434,10.4489212,2.206879377,430
2011,1,1,16,5,18.19010562,985.6680908,43.18777162,16.17407227,2.304464579,232
2011,1,1,17,5,15.66595645,986.1699219,49.34672002,23.48542023,2.516870975,25
2011,1,1,18,4,14.72877963,986.5366821,50.81821865,30.90612793,2.666706085,0
2011,1,1,19,4,13.91521096,987.1757813,52.12206407,38.189991,2.709682226,0
2011,1,1,20,3,13.10639471,987.2456665,53.78254909,45.61446762,2.713745832,0
2011,1,1,21,3,12.32621704,986.9713745,55.6134511,53.93944931,2.701125145,0
2011,1,1,22,3,11.57098224,986.0424194,57.45835754,62.49152756,2.639708757,0
2011,1,1,23,3,10.86984909,985.4398193,59.44661446,71.2503891,2.511645555,0
2011,1,2,0,3,10.23135034,984.8381958,61.34549249,79.95453644,2.360912085,0
2011,1,2,1,3,9.653406509,984.4570923,63.56637486,87.48187256,2.193933725,0
2011,1,2,2,3,9.165822638,984.0322266,66.50937569,90.63487244,1.904846072,0
2011,1,2,3,3,8.77383581,984.1615601,69.92306515,90.92484283,1.597839832,0
2011,1,2,4,3,8.353187975,984.4385986,71.76788685,89.57021332,1.359727979,0
2011,1,2,5,3,7.971402994,985.1386719,73.84677466,87.7448349,1.194040418,0
2011,1,2,6,3,7.624648436,985.979248,74.19805561,88.59137726,1.047462583,0
2011,1,2,7,5,8.805418756,986.8825073,77.17564656,91.90091705,0.894640148,0
2011,1,2,8,2,11.87100776,987.4082031,51.50513907,104.3883438,0.9766711,158
2011,1,2,9,4,14.70980934,988.0441895,49.77282082,113.155838,0.960178912,358
2011,1,2,10,4,18.741945,987.8814087,38.85261387,91.46177673,0.676743507,537
2011,1,2,11,3,21.26539725,987.0031738,31.48174714,57.88250351,0.707639813,636
2011,1,2,12,3,22.2114631,985.8543701,29.99074978,51.5989418,0.85324049,684
2011,1,2,13,3,22.42349131,985.0849609,29.34713811,49.7106781,1.106707096,662
2011,1,2,14,3,21.92416437,984.8643799,30.08118753,44.80024338,1.273781896,588
2011,1,2,15,3,20.60983257,985.2159424,32.91900785,43.09348679,1.43961215,420
2011,1,2,16,7,18.36048881,985.3565674,47.59162363,43.40280533,1.650449514,236
2011,1,2,17,5,15.7659902,985.99646,52.23242857,48.24489594,1.935836196,28
2011,1,2,18,5,14.91457953,986.7844238,53.75511689,55.79502106,2.222224474,0
2011,1,2,19,5,14.15228004,987.5634155,54.89928003,64.41989899,2.399541855,0
2011,1,2,20,4,13.42106345,987.9493408,55.89381313,73.11720276,2.673051119,0
2011,1,2,21,4,12.68758856,987.7045288,57.25044141,81.46794128,2.940782309,0
2011,1,2,22,4,11.96908579,987.4130859,58.99159435,89.37954712,3.099675655,0
2011,1,2,23,4,11.24886758,986.6987915,61.12568579,96.68732452,3.158645391,0
2011,1,3,0,3,10.54523536,986.2286987,63.57411855,103.770134,3.157122135,0
2011,1,3,1,3,9.876601859,986.0321045,66.17028103,109.8415451,3.137757778,0
2011,1,3,2,3,9.230037517,986.1176147,68.79748014,114.9255371,2.912941456,0
2011,1,3,3,3,8.632564899,986.3918457,71.10852906,118.3761292,2.738226175,0
2011,1,3,4,3,8.100113273,986.4934692,72.72441518,119.1641998,2.695337534,0
2011,1,3,5,3,7.614673222,987.1647949,73.95509791,117.1480865,2.687823296,0
2011,1,3,6,3,7.166207442,987.6442261,75.11955181,113.6039276,2.642371416,0
2011,1,3,7,3,8.282324778,988.4667969,73.97118198,109.9438019,2.480256557,0
2011,1,3,8,4,11.2886234,989.0372925,62.74636528,106.7467346,2.124589205,161
2011,1,3,9,5,14.47011525,990.1968384,54.26705815,99.86806488,1.537622213,363
2011,1,3,10,4,18.47324809,990.1329956,38.99568292,74.01024628,1.544796944,536
2011,1,3,11,4,20.57542247,989.6254272,33.81942298,56.97724915,1.585435629,634
2011,1,3,12,3,21.43103272,988.3011475,31.72320515,49.28770065,1.723454833,685
2011,1,3,13,3,21.6126439,987.5376587,31.10516772,48.30035019,1.867556214,664
2011,1,3,14,3,21.09335453,987.3417969,31.93426426,48.45205307,1.897142529,569
2011,1,3,15,3,19.76059912,987.1663208,34.41232645,52.07085419,1.964108706,424
2011,1,3,16,5,17.4021023,987.0435791,46.72194958,59.99464417,2.140986443,231
2011,1,3,17,5,14.73402998,987.4885864,54.6243811,71.7021637,2.524964333,30
2011,1,3,18,5,13.69477145,988.0599976,56.64813924,84.33493042,2.848624229,0
2011,1,3,19,4,12.78129295,988.2629395,58.94356591,97.15882874,2.961156845,0
2011,1,3,20,4,11.89099017,988.7086792,61.51274606,107.7731323,3.003411055,0
2011,1,3,21,4,11.04354963,988.9871826,64.37439026,115.1532364,2.927951097,0
2011,1,3,22,4,10.23724582,988.5212402,67.24452,118.6686935,2.703784704,0
2011,1,3,23,4,9.505108231,988.357605,70.13251506,118.3657684,2.415078163,0
2011,1,4,0,4,8.828417485,987.875,72.86115266,116.3857117,2.193534374,0
2011,1,4,1,4,8.215003276,987.9870605,75.42851745,113.7620697,2.062676191,0
